# civil-holidays v1
# jurisdiction: PT
# source: https://en.wikipedia.org/wiki/Public_holidays_in_Portugal
#   (national + regional; Codigo do Trabalho art. 234) and the
#   curated municipal seed https://gist.github.com/JarbasAl/00ac648935e964a795e9b9fe4585c2a5
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school
# columns: kind | name | args | categories | subdiv | observed
#
# --- national (public) ---
easter | São Gregório | 1 | municipal | PT-CRT
easter | Nossa Senhora de Mércoles | 9 | municipal | PT-CTB
easter | Nossa Senhora da Boa Viagem | 1 | municipal | PT-CTC
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-CTX
easter | Segunda-feira de Páscoa | 1 | municipal | PT-CUB
easter | Nossa Senhora da Luz | 1 | municipal | PT-CVD
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-ETZ
easter | Segunda-feira de Páscoa | 1 | municipal | PT-FEC
nth_weekday | Nossa Senhora do Rosário | 10 1 6 1 | municipal | PT-GDM
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-GLG
nth_weekday | Nosso Senhor do Calvário | 8 2 6 1 | municipal | PT-GVA
easter | Nossa Senhora do Almortão | 15 | municipal | PT-IDN
easter | Segunda-feira de Páscoa | 1 | municipal | PT-ILH
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-LLE
nth_weekday | Nosso Senhor dos Aflitos | 7 -1 6 1 | municipal | PT-LSD
easter | Segunda-feira de Páscoa | 1 | municipal | PT-MAC
nth_weekday | Nossa Senhora do Bom Despacho | 7 2 6 1 | municipal | PT-MAI
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-MCQ
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-MFR
easter | Segunda-feira de Pascoela (Nossa Senhora dos Prazeres) | 8 | municipal | PT-MFT
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-MGR
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-MLD
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-MLG
easter | Segunda-feira de Páscoa | 1 | municipal | PT-MOR
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-MRT
nth_weekday | Festas em Honra de Nossa Senhora da Boa Viagem | 9 2 6 2 | municipal | PT-MTA
easter | Terça-feira de Pentecostes | 51 | municipal | PT-MTS
easter | Nossa Senhora da Graça | 1 | municipal | PT-NIS
nth_weekday | Nossa Senhora de La Salette | 8 2 6 1 | municipal | PT-OAZ
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-OBR
nth_weekday | Santa Margarida | 8 2 6 1 | municipal | PT-OLR
easter | Senhor Santo Cristo dos Milagres | 29 | municipal | PT-PDL
easter | Segunda-feira de Páscoa | 1 | municipal | PT-PNC
nth_weekday | Nossa Senhora da Boa Viagem | 8 1 6 1 | municipal | PT-PNI
nth_weekday | Divino Salvador | 7 3 6 1 | municipal | PT-PRD
easter | Segunda-feira de Páscoa | 1 | municipal | PT-PRL
easter | Segunda-feira de Páscoa | 1 | municipal | PT-PSR
easter | Oitava do Corpo de Deus | 61 | municipal | PT-PVC
easter | Segunda-feira de Páscoa | 1 | municipal | PT-RDD
easter | Segunda-feira de Pascoela (Nossa Senhora dos Prazeres / Nossa Senhora da Graça) | 8 | municipal | PT-SBG
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-SCD
nth_weekday | Senhor Santo Cristo dos Milagres | 8 2 6 1 | municipal | PT-SCG
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-SMA
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-SMG
easter | Nossa Senhora do Carmo da Serra (de São Miguel) | 1 | municipal | PT-SSL
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-TNV
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-VDG
easter | Ascensão de Jesus / Quinta-feira da Ascensão / Dia da Espiga | 39 | municipal | PT-VFX
easter | Pentecostes / Divino Espírito Santo | 50 | municipal | PT-VGS
nth_weekday | Feira da Ladra | 10 1 5 2 | municipal | PT-VRM
nth_weekday | Nossa Senhora da Alagada | 8 4 6 1 | municipal | PT-VVR

# --- vacanza/holidays 0.101 category parity (retrieved 2026-07-22) ---
# Extra non-default-category rows cross-checked against vacanza/holidays
# 0.101 (MIT) `country_holidays(cc, categories=(...))` output for 2024 and
# 2025. Stable Gregorian dates across both years land as `fixed`; rows that
# move year to year are gazetted `decree` tables of vacanza's own 2024/2025
# dates. "(estimated)"/"(procijenjeno)"-style annotation suffixes were
# stripped. Names are vacanza's own (already-localized) labels.
decree | Carnaval | 2024-2-13 2025-3-4 | optional |  |  |  | 
fixed  | Dia de Santo António | 6 13 | optional |  |  |  | 
fixed  | Véspera de Natal | 12 24 | optional |  |  |  | 
fixed  | 26 de Dezembro | 12 26 | optional |  |  |  | 
fixed  | Véspera de Ano Novo | 12 31 | optional |  |  |  | 

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101): PT-01..PT-18 district capitals ---
# PT-20 and PT-30 (Açores/Madeira) already have hand-curated rows above (see
# DOCUMENTED_SKIPS in test_holidays_subdivisions.py for the two vacanza
# differentials deliberately not merged in).
fixed | Dia de Santa Joana | 5 12 | regional religious | PT-01 |
easter | Quinta-feira da Ascensão | 39 | regional | PT-02 |
fixed | Dia de São João | 6 24 | regional religious | PT-03 |
fixed | Dia de Nossa Senhora das Graças | 8 22 | regional religious | PT-04 |
easter | Dia de Nossa Senhora de Mércoles | 16 | regional religious | PT-05 |
fixed | Dia de Santa Isabel | 7 4 | regional religious | PT-06 |
fixed | Dia de São Pedro | 6 29 | regional religious | PT-07 |
fixed | Dia do Município de Faro | 9 7 | regional | PT-08 |
fixed | Dia do Município da Guarda | 11 27 | regional | PT-09 |
fixed | Dia do Município de Leiria | 5 22 | regional | PT-10 |
fixed | Dia de Santo António | 6 13 | regional religious | PT-11 |
fixed | Dia do Município de Portalegre | 5 23 | regional | PT-12 |
fixed | Dia de São João | 6 24 | regional religious | PT-13 |
fixed | Dia de São José | 3 19 | regional religious | PT-14 |
fixed | Dia de Bocage | 9 15 | regional religious | PT-15 |
fixed | Dia de Nossa Senhora da Agonia | 8 20 | regional religious | PT-16 |
fixed | Dia de Santo António | 6 13 | regional religious | PT-17 |
fixed | Dia de São Mateus | 9 21 | regional religious | PT-18 |
